timestamp,cadvisor_version_info,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_load_d_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_file_descriptors,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_kernel_usage,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_total_active_file_bytes,container_memory_total_inactive_file_bytes,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_processes,container_scrape_error,container_sockets,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,container_threads,container_threads_max,container_ulimits_soft,machine_cpu_cores,machine_cpu_physical_cores,machine_cpu_sockets,machine_memory_bytes,machine_nvm_avg_power_budget_watts,machine_nvm_capacity,machine_scrape_error,machine_swap_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2025-05-18T01:56:13,1,1303,141,84.0910691,0,0,29.93,100.0898338,52.79,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533363,1972715520,0,101768,127201280,873467904,4545548288,2419232768,0,343281664,1619337216,4545449984,2926112768,84376,0,0,881,1033830,0,0,650,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064719577,257,257,257,1
2025-05-18T01:56:43,1,1606,152,90.6794704,0,0,37.77,156.9374415,87.36,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533393,2054045696,0,101771,230395904,887365632,5094727680,2756595712,0,397733888,1650122752,5094322176,3444199424,254303,0,0,1324,1506974,0,0,1063,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.009882755,257,257,0,1
2025-05-18T01:57:13,1,1908,154,91.3808287,0,0,41.54,207.3810352,119.08,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533423,2066944000,0,101771,231645184,887992320,5281914880,2914856960,0,405020672,1657597952,5278453760,3620855808,474089,0,0,1803,1972431,0,0,1513,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062883169,3605,3605,0,1
2025-05-18T01:57:43,1,2209,156,91.9578322,0,0,45.54,256.8575601,150.26,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533453,2075193344,0,101772,232091648,888172544,5465739264,3069972480,0,411758592,1659404288,5450227712,3790823424,691468,0,0,2233,2433515,0,0,1939,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063545166,3605,3605,0,1
2025-05-18T01:58:13,1,2510,157,92.4563595,0,0,48.88,306.2637113,179.88,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533483,2082373632,0,101772,232333312,888320000,5495869440,3093872640,0,415113216,1663422464,5493202944,3829780480,911388,0,0,2710,2902985,0,0,2403,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062763938,3605,3605,0,1
2025-05-18T01:58:43,1,2812,158,92.8108394,0,0,52.21,356.0646716,210.86,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533513,2084995072,0,101772,232599552,888451072,5618954240,3183153152,0,416821248,1664819200,5591797760,3926978560,1128161,0,0,3129,3363676,0,0,2823,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064471893,3605,3605,0,1
2025-05-18T01:59:13,1,3013,160,93.4467215,0,0,54.19,382.4433285,226.87,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533543,2087067648,0,101772,233263104,888721408,5649203200,3229327360,0,418496512,1665232896,5643837440,3978604544,1288124,0,0,3558,3728730,0,0,3262,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.066778638,3605,3605,0,1
2025-05-18T01:59:43,1,3314,162,94.1122116,0,0,56.96,416.6606263,248.47,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533573,2088808448,0,101772,233545728,888868864,5727404032,3290275840,0,420237312,1665265664,5711024128,4045758464,1522801,0,0,4144,4203657,0,0,3842,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.067412957,3605,3605,0,1
2025-05-18T02:00:13,1,3515,162,94.1122116,0,0,58.94,434.7800976,260.2,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533603,2089779200,0,101772,233820160,889135104,5736783872,3303612416,0,421076992,1665409024,5729890304,4064481280,1682263,0,0,4537,4509942,0,0,4228,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062981499,3605,3605,0,1
2025-05-18T02:00:43,1,3817,163,94.1346654,0,0,62.44,460.5888787,274.83,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533633,2014326784,0,101772,220319744,888819712,5830406144,3379404800,28672,444469248,1566670848,5722935296,4156264448,1918093,0,0,5149,4991788,0,0,4831,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.065753518,3605,3605,0,1
